Common Name,Scientific Name,Asmt Year,Stock Assessment Area,Stock Status Area,Council,Council Abbv,FMP,Assessment Model,Assessment Model Type,Science Center Region,Rebuilding Program Status,SI.stock.boundaries,SI.data.prep,SI.model,SI.sci.advice,SI.other,NOAA.Region.Name,NMFS.Name,Ave.Metric.Tons_Commercial,Ave.Metric.Tons_Recreational,Ave.Dollars.Adj_Commercial,Ecological,Schooling,Max Length.m,Transboundary
Acadian redfish,Sebastes fasciatus,2023,Gulf of Maine / Georges Bank,Gulf of Maine / Georges Bank,New England Fisheries Management Council,NEFMC,Northeast Multispecies FMP,ASAP,4,Northeast,0,1,0,0,0,NA,New England,"REDFISH, ACADIAN",2667.375,42.45,4199688.83,"demersal/benthic, planktivorous",0,0.47,1
Alaska plaice,Pleuronectes quadrituberculatus,2023,Bering Sea / Aleutian Islands,Bering Sea / Aleutian Islands,North Pacific Fisheries Management Council,NPFMC,Bering Sea/Aleutian Islands Groundfish FMP,Custom SCAA,4,Alaska,0,0,0,0,0,0,Alaska,Flatfishes,13909,NA,6288946.27,"demersal/benthic, piscivorous/omnivorous",0,0.87,1
Alaska skate,Bathyraja parmifera,2023,Bering Sea / Aleutian Islands,Bering Sea / Aleutian Islands,North Pacific Fisheries Management Council,NPFMC,Bering Sea/Aleutian Islands Groundfish FMP,Custom SCAA,4,Alaska,0,1,1,0,1,NA,Alaska,"Skates, Rajidae",8715.33,NA,3761333,"demersal/benthic, piscivorous/omnivorous",0,0.905,1
Albacore,Thunnus alalunga,2020,North Atlantic,North Atlantic,Highly Migratory Species; International Convention for the Conservation of Atlantic Tuna,"NOAA HMS, ICCAT",Atlantic/Gulf HMS FMP,SS,4,ICCAT,0,1,1,0,0,0,"NOAA HMS, ICCAT","TUNA, ALBACORE",157.76,771.41,520821.22,"pelagic-oceanic, piscivorous/omnivorous",1,1.4,1
Albacore,Thunnus alalunga,2023,North Pacific,North Pacific,Pacific Fisheries Management Council,PFMC,U.S. West Coast Fisheries for Highly Migratory Species / Pacific Pelagic Fisheries of the Western Pacific Region Ecosystem,SS,4,Southwest,0,1,1,1,1,NA,Pacific Coast,"TUNA, ALBACORE",10177.2083,544.381,37211230.6,"pelagic-oceanic, piscivorous/omnivorous",1,1.4,1
Albacore,Thunnus alalunga,2024,South Pacific,South Pacific,Western Pacific Fisheries Management Council,WPFMC,Pacific Pelagic Fisheries of the Western Pacific Region Ecosystem,Multifan-CL,4,Pacific Islands,0,0,1,1,0,1,Hawaii,"TUNA, ALBACORE",294.692308,19.125,1496297.7,"pelagic-oceanic, piscivorous/omnivorous",1,1.4,1
American plaice,Hippoglossoides platessoides,2022,Gulf of Maine / Georges Bank,Gulf of Maine / Georges Bank,New England Fisheries Management Council,NEFMC,Northeast Multispecies FMP,WHAM,5,Northeast,0,0,1,0,0,0,New England,"FLOUNDER, AMERICAN PLAICE",1551.04167,NA,6969077.19,"demersal/benthic, piscivorous/omnivorous",0,0.826,1
Arrowtooth flounder,Reinhardtius stomias,2023,Bering Sea / Aleutian Islands,Bering Sea / Aleutian Islands,North Pacific Fisheries Management Council,NPFMC,Bering Sea/Aleutian Islands Groundfish FMP,AMAK,4,Alaska,0,0,0,1,0,1,Alaska,"FLOUNDER, ARROWTOOTH",26091.167,NA,7024923.9,"demersal/benthic, piscivorous/omnivorous",0,0.84,1
Arrowtooth flounder,Reinhardtius stomias,2023,Gulf of Alaska,Gulf of Alaska,North Pacific Fisheries Management Council,NPFMC,Gulf of Alaska Groundfish FMP,Custom SCAA,4,Alaska,0,0,0,0,1,1,Alaska,"FLOUNDER, ARROWTOOTH",26091.167,NA,7024923.9,"demersal/benthic, piscivorous/omnivorous",0,0.84,1
Arrowtooth flounder,Reinhardtius stomias (I think it should be Atheresthes stomias),2021,Pacific Coast,Pacific Coast,Pacific Fisheries Management Council,PFMC,Pacific Coast Groundfish FMP,SS,4,Northwest,0,0,0,0,0,0,Pacific Coast,"FLOUNDER, ARROWTOOTH",1747.083,0.05,590919.4,"demersal/benthic, piscivorous/omnivorous",0,0.84,1
Atka mackerel,Pleurogrammus monopterygius,2023,Bering Sea / Aleutian Islands,Bering Sea / Aleutian Islands,North Pacific Fisheries Management Council,NPFMC,Bering Sea/Aleutian Islands Groundfish FMP,Custom SCAA,4,Alaska,0,0,1,0,1,1,Alaska,"MACKEREL, ATKA",54316.7917,NA,31819824.8,"demersal/benthic, planktivorous",0,0.565,1
Atka mackerel,Pleurogrammus monopterygius,2023,Gulf of Alaska,Gulf of Alaska,North Pacific Fisheries Management Council,NPFMC,Gulf of Alaska Groundfish FMP,Historical Average Catch,1,Alaska,0,1,1,0,1,1,Alaska,"MACKEREL, ATKA",54316.7917,NA,31819824.8,"demersal/benthic, planktivorous",0,0.565,1
Atlantic bonnethead shark,Sphyrna tiburo,2013,"Gulf of Mexico, South Atlantic Coast","Gulf of Mexico, South Atlantic Coast",,"NOAA HMS, ICCAT",Atlantic/Gulf HMS FMP,State-space age-structured production model,5,Southeast,0,1,1,0,0,NA,"NOAA HMS, ICCAT","SHARK, BONNETHEAD",12.5652174,152.625,19946.537,"reef-associated, piscivorous/omnivorous",0,1.5,1
Atlantic cod,Gadus morhua,2023,Eastern Gulf of Maine,Eastern Gulf of Maine,New England Fisheries Management Council,NEFMC,Northeast Multispecies FMP,WHAM,5,Northeast,1,1,0,0,0,NA,New England,"COD, ATLANTIC",5335.625,1397.4583,24957480.9,"benthopelagic, piscivorous/omnivorous",0,2,1
Atlantic cod,Gadus morhua,2024,Georges Bank,Georges Bank,New England Fisheries Management Council,NEFMC,Northeast Multispecies FMP,WHAM,5,Northeast,1,1,1,0,1,0,New England,"COD, ATLANTIC",5335.625,1397.4583,24957480.9,"benthopelagic, piscivorous/omnivorous",0,2,1
Atlantic cod,Gadus morhua,2024,Southern New England,Southern New England,New England Fisheries Management Council,NEFMC,Northeast Multispecies FMP,WHAM,5,Northeast,0,1,1,0,0,0,New England,"COD, ATLANTIC",5335.625,1397.4583,24957480.9,"benthopelagic, piscivorous/omnivorous",0,2,1
Atlantic cod,Gadus morhua,2024,Western Gulf of Maine,Western Gulf of Maine,New England Fisheries Management Council,NEFMC,Northeast Multispecies FMP,WHAM,5,Northeast,0,1,1,0,0,0,New England,"COD, ATLANTIC",5335.625,1397.4583,24957480.9,"benthopelagic, piscivorous/omnivorous",0,2,1
Atlantic halibut,Hippoglossus hippoglossus,2022,Northwestern Atlantic Coast,Northwestern Atlantic Coast,New England Fisheries Management Council,NEFMC,Northeast Multispecies FMP,FSD,0,Northeast,1,0,0,0,0,0,New England,"HALIBUT, ATLANTIC",38.9166667,NA,633518.504,"demersal/benthic, piscivorous/omnivorous",0,4.7,1
Atlantic herring,Clupea harengus,2022,Northwestern Atlantic Coast,Northwestern Atlantic Coast,New England Fisheries Management Council,NEFMC,Atlantic Herring FMP,ASAP,4,Northeast,1,1,0,0,0,1,New England,"HERRING, ATLANTIC",63944.8333,8.033,33987253.2,"benthopelagic, planktivorous",1,0.45,1
Atlantic mackerel,Scomber scombrus,2023,Gulf of Maine / Cape Hatteras,Mid-atlantic coast,Mid-Atlantic Fisheries Management Council,MAFMC,"Mackerel, Squid, Butterfish FMP",ASAP,4,Northeast,1,0,1,0,0,0,Middle Atlantic,"MACKEREL, ATLANTIC",4559.25,41.272727,2325333.4,"pelagic-neritic, piscivorous/omnivorous",1,0.6,1
Atlantic salmon,Salmo salar,2022,Gulf of Maine,Gulf of Maine,New England Fisheries Management Council,NEFMC,Atlantic Salmon FMP,Index Method,2,Northeast,1,0,1,1,1,0,New England,"SALMON, ATLANTIC",NA,0,NA,"benthopelagic, piscivorous/omnivorous",0,1.5,1
Atlantic sharpnose shark,Rhizoprionodon terraenovae,2013,Atlantic,Atlantic,Highly Migratory Species; International Convention for the Conservation of Atlantic Tuna,"NOAA HMS, ICCAT",Atlantic/Gulf HMS FMP,SS,4,Southeast,0,1,1,0,0,NA,"NOAA HMS, ICCAT","SHARK, SHARPNOSE, ATLANTIC",137.95,140.556,209059.45,"demersal/benthic, piscivorous/omnivorous",0,1.1,1
Atlantic sharpnose shark,Rhizoprionodon terraenovae,2013,"Gulf of Mexico, South Atlantic Coast","Gulf of Mexico, South Atlantic Coast",,"NOAA HMS, ICCAT",Atlantic/Gulf HMS FMP,State-space age-structured production model,5,Southeast,0,1,1,0,0,NA,"NOAA HMS, ICCAT","SHARK, SHARPNOSE, ATLANTIC",33.588,108.4583,49436.929,"demersal/benthic, piscivorous/omnivorous",0,1.1,1
Atlantic surfclam,Spisula solidissima,2020,Mid-Atlantic Coast,Mid-Atlantic Coast,Mid-Atlantic Fisheries Management Council,MAFMC,Atlantic Surfclam and Ocean Quahog FMP,SS,4,MidAtlantic,0,1,1,1,0,1,Middle Atlantic,"CLAM, SURF, ATLANTIC",15223.2917,NA,29755498.2,"demersal/benthic, planktivorous",0,0.2,1
Atlantic wolffish,Anarhichas lupus,2022,Gulf of Maine / Georges Bank,Gulf of Maine / Georges Bank,New England Fisheries Management Council,NEFMC,Northeast Multispecies FMP,SCALE,4,Northeast,1,0,0,0,0,0,New England,"WOLFFISH, ATLANTIC",108,17,203556.415,"demersal/benthic, piscivorous/omnivorous",0,1.5,1
Aurora rockfish,Sebastes aurora,2013,Pacific Coast,Pacific Coast,Pacific Fisheries Management Council,PFMC,Pacific Coast Groundfish FMP,SS,4,Northwest,0,0,0,0,0,0,Pacific Coast,"ROCKFISH, AURORA",22.9583333,NA,28478.8164,bathydemersal,0,0.41,1
Barndoor skate,Dipturus laevis,2023,Georges Bank / Southern New England,Georges Bank / Southern New England,New England Fisheries Management Council,NEFMC,Skate Complex FMP,Index Method,2,Northeast,0,0,1,0,0,0,New England,"SKATE, BARNDOOR",90.25,NA,61083.1549,"demersal/benthic, piscivorous/omnivorous",0,1.63,1
Big skate,Raja binoculata,2023,Gulf of Alaska,Gulf of Alaska,North Pacific Fisheries Management Council,NPFMC,Gulf of Alaska Groundfish FMP,Survey Abundance,2,Alaska,0,0,0,0,0,0,Alaska,"SKATE, BIG",89.3684211,NA,97020.9728,"demersal/benthic, piscivorous/omnivorous",0,2.44,1
Big skate,Raja binoculata,2019,Pacific Coast,Pacific Coast,Pacific Fisheries Management Council,PFMC,Pacific Coast Groundfish FMP,SS,4,Northwest,0,0,1,0,0,0,Pacific Coast,"SKATE, BIG",89.3684211,NA,97020.9728,"demersal/benthic, piscivorous/omnivorous",0,2.44,1
Bigeye thresher,Alopias superciliosus,2017,Pacific,Pacific,,PFMC-WPFMC,U.S. West Coast Fisheries for Highly Migratory Species / Pacific Pelagic Fisheries of the Western Pacific Region Ecosystem,MIST,1,Southwest,0,0,1,0,1,NA,Hawaii,"SHARKS, THRESHER",NA,NA,NA,"pelagic-oceanic, piscivorous/omnivorous",0,4.88,1
Bigeye tuna,Thunnus obesus,2024,Eastern Pacific,Eastern Pacific,,PFMC-WPFMC,U.S. West Coast Fisheries for Highly Migratory Species / Pacific Pelagic Fisheries of the Western Pacific Region Ecosystem,SS,4,Pacific Islands,0,0,1,1,0,1,Hawaii,"TUNA, BIGEYE",7104.30769,138.388889,79469812,"pelagic-oceanic, piscivorous/omnivorous",0,2.5,1
Bigeye tuna,Thunnus obesus,2023,Western and Central Pacific,Western and Central Pacific,,PFMC-WPFMC,U.S. West Coast Fisheries for Highly Migratory Species / Pacific Pelagic Fisheries of the Western Pacific Region Ecosystem,Multifan-CL,4,Pacific Islands,0,1,1,1,0,NA,Hawaii,"TUNA, BIGEYE",7104.30769,138.388889,79469812,"pelagic-oceanic, piscivorous/omnivorous",0,2.5,1
Bigeye tuna,Thunnus obesus,2021,Atlantic,Atlantic,Highly Migratory Species; International Convention for the Conservation of Atlantic Tuna,"NOAA HMS, ICCAT",Atlantic/Gulf HMS FMP,SS,4,ICCAT,1,0,1,1,0,NA,"NOAA HMS, ICCAT","TUNA, BIGEYE",440.561,611.88,4418669.48,"pelagic-oceanic, piscivorous/omnivorous",1,2.5,1
Black grouper,Mycteroperca bonaci,2010,Southern Atlantic Coast / Gulf of Mexico,Southern Atlantic Coast / Gulf of Mexico,South Atlantic Fisheries Management Council,SAFMC,South Atlantic Snapper Grouper FMP,Catch Curve,1,Southeast,0,0,0,0,0,0,South Atlantic,"GROUPER, BLACK",5.5,10.0833,60586.0979,"reef-associated, piscivorous/omnivorous",0,1.5,1
Black jack,Caranx lugubris,2023,American Samoa,American Samoa,Western Pacific Fisheries Management Council,WPFMC,American Samoa Archipelago Ecosystem,SS,4,Pacific Islands,0,0,0,0,0,0,Hawaii,"JACK, BLACK",0.125,4.5,1382.87826,"benthopelagic, piscivorous/omnivorous",0,1,1
Black rockfish,Sebastes melanops,2023,Point Conception / Oregon Border,California,Pacific Fisheries Management Council,PFMC,Pacific Coast Groundfish FMP,SS,4,Northwest,0,1,1,1,1,0,Pacific Coast,"ROCKFISH, BLACK",171.708333,704.2857,915555.836,"benthopelagic, piscivorous/omnivorous",0,0.63,1
Black rockfish,Sebastes melanops,2023,South of Point Conception,California,Pacific Fisheries Management Council,PFMC,Pacific Coast Groundfish FMP,SS,4,Northwest,0,1,1,1,1,0,Pacific Coast,"ROCKFISH, BLACK",171.708333,704.2857,915555.836,"benthopelagic, piscivorous/omnivorous",0,0.63,1
Black rockfish,Sebastes melanops,2023,Oregon,Oregon,Pacific Fisheries Management Council,PFMC,Pacific Coast Groundfish FMP,SS,4,Northwest,0,1,1,1,1,0,Pacific Coast,"ROCKFISH, BLACK",171.708333,704.2857,915555.836,"benthopelagic, piscivorous/omnivorous",0,0.63,1
Black rockfish,Sebastes melanops,2023,Washington,Washington,Pacific Fisheries Management Council,PFMC,Pacific Coast Groundfish FMP,SS,4,Northwest,0,1,1,1,1,0,Pacific Coast,"ROCKFISH, BLACK",171.708333,704.2857,915555.836,"benthopelagic, piscivorous/omnivorous",0,0.63,1
Black sea bass,Centropristis striata,2021,Mid-Atlantic Coast,Mid-Atlantic Coast,Mid-Atlantic Fisheries Management Council,MAFMC,"Summer Flounder, Scup, Black Sea Bass FMP",ASAP,4,Northeast,0,1,1,1,0,0,Middle Atlantic,"BASS, BLACK SEA",788.583333,1996.33,6380046.16,"reef-associated, piscivorous/omnivorous",0,0.66,1
Black sea bass,Centropristis striata,2023,Southern Atlantic Coast,Southern Atlantic Coast,South Atlantic Fisheries Management Council,SAFMC,South Atlantic Snapper Grouper FMP,BAM,4,Southeast,0,1,1,1,0,1,South Atlantic,"BASS, BLACK SEA",270.791667,429.0833,1904732.94,"reef-associated, piscivorous/omnivorous",0,0.66,1
Blackgill rockfish,Sebastes melanostomus,2019,Southern California,Southern California,Pacific Fisheries Management Council,PFMC,Pacific Coast Groundfish FMP,"DCAC, SS","1, 4","Northwest, Southwest",0,0,0,0,0,0,Pacific Coast,"ROCKFISH, BLACKGILL",86.9583333,NA,282322.105,bathydemersal,0,0.7,1
Blacknose shark,Carcharhinus acronotus,2011,Atlantic,Atlantic,Highly Migratory Species; International Convention for the Conservation of Atlantic Tuna,"NOAA HMS, ICCAT",Atlantic/Gulf HMS FMP,State-space age-structured production model,5,Southeast,1,1,1,0,0,NA,"NOAA HMS, ICCAT","SHARK, BLACKNOSE",31.0833,28.4,58212.883,"reef-associated, piscivorous/omnivorous",0,2,1
Blacknose shark,Carcharhinus acronotus,2011,Gulf of Mexico,Gulf of Mexico,,"NOAA HMS, ICCAT",Atlantic/Gulf HMS FMP,State-space age-structured production model,5,Southeast,0,1,1,0,0,NA,"NOAA HMS, ICCAT","SHARK, BLACKNOSE",6.2,36.826087,8853.7,"reef-associated, piscivorous/omnivorous",0,2,1
Blackspotted and Rougheye Rockfish,Sebastes melanostictus and S. aleutianus,2023,Gulf of Alaska,Gulf of Alaska,North Pacific Fisheries Management Council,NPFMC,Gulf of Alaska Groundfish FMP,Custom SCAA,4,Alaska,0,0,1,0,1,NA,Alaska,ROCKFISHES,12938.375,NA,9704091,"benthopelagic, piscivorous/omnivorous",0,0.539,1
Blackspotted and Rougheye rockfish,Sebastes melanostictus and S. aleutianus,2022,Aleutian Islands,Eastern Bering Sea / Aleutian Islands,North Pacific Fisheries Management Council,NPFMC,Bering Sea/Aleutian Islands Groundfish FMP,AMAK,4,Alaska,0,1,0,0,1,1,Alaska,ROCKFISHES,12938.375,NA,9704091,"benthopelagic, piscivorous/omnivorous",0,0.539,1
Blackspotted and Rougheye rockfish,Sebastes melanostictus and S. aleutianus,2022,Eastern Bering Sea,Eastern Bering Sea / Aleutian Islands,North Pacific Fisheries Management Council,NPFMC,Bering Sea/Aleutian Islands Groundfish FMP,Index Method,2,Alaska,0,1,0,0,1,1,Alaska,ROCKFISHES,12938.375,NA,9704091,"benthopelagic, piscivorous/omnivorous",0,0.539,1
Blackspotted and Rougheye Rockfish,Sebastes melanostictus and S. aleutianus,2019,Pacific Coast,Pacific Coast,Pacific Fisheries Management Council,PFMC,Pacific Coast Groundfish FMP,"DB-SRA, SS","1, 4","Northwest, Southwest",0,0,0,0,0,0,Pacific Coast,"ROCKFISH, ROUGHEYE/BLACKSPOT",132,NA,1590395,"benthopelagic, piscivorous/omnivorous",0,0.539,1
Blacktip shark,Carcharhinus limbatus,2021,Atlantic,Atlantic,Highly Migratory Species; International Convention for the Conservation of Atlantic Tuna,"NOAA HMS, ICCAT",Atlantic/Gulf HMS FMP,SS,4,Southeast,0,1,1,1,0,NA,"NOAA HMS, ICCAT","SHARK, BLACKTIP",138.361,101.04167,208509.867,"reef-associated, piscivorous/omnivorous",0,2.86,1
Blacktip shark,Carcharhinus limbatus,2020,Gulf of Mexico,Gulf of Mexico,Highly Migratory Species; International Convention for the Conservation of Atlantic Tuna,"NOAA HMS, ICCAT",Atlantic/Gulf HMS FMP,SS,4,Southeast,0,1,1,1,0,NA,"NOAA HMS, ICCAT","SHARK, BLACKTIP",173.42424,181.125,249621.495,"reef-associated, piscivorous/omnivorous",0,2.86,1
Blue and Deacon Rockfish,Sebastes mystinus and S. diaconus,2019,California,California,Pacific Fisheries Management Council,PFMC,Pacific Coast Groundfish FMP,SS,1,"Northwest, Southwest",0,1,1,1,1,0,Pacific Coast,"ROCKFISH, BLUE",9.0833,140.5714,46165.45,"reef-associated, piscivorous/omnivorous",0,0.61,1
Blue and Deacon Rockfish,Sebastes mystinus and S. diaconus,2017,Oregon,Oregon,Pacific Fisheries Management Council,PFMC,Pacific Coast Groundfish FMP,SS,1,"Northwest, Southwest",0,1,1,1,1,0,Pacific Coast,"ROCKFISH, BLUE",9.0833,140.5714,46165.45,"reef-associated, piscivorous/omnivorous",0,0.61,1
Blue king crab,Paralithodes platypus,2023,Pribilof Islands,Pribilof Islands,North Pacific Fisheries Management Council,NPFMC,Bering Sea/Aleutian Islands Groundfish FMP,Survey Abundance,2,Alaska,1,1,0,0,0,0,Alaska,"
CRAB, KING",7511.333,NA,124516855.7,"demersal/benthic, piscivorous/omnivorous",0,0.22,1
Blue king crab,Paralithodes platypus,2022,Saint Matthew Island,Saint Matthew Island,North Pacific Fisheries Management Council,NPFMC,Bering Sea/Aleutian Islands Groundfish FMP,GMACS,4,Alaska,1,1,0,0,0,0,Alaska,"
CRAB, KING",7511.333,NA,124516855.7,"demersal/benthic, piscivorous/omnivorous",0,0.22,1
Blue marlin,Makaira nigricans,2018,Atlantic,Atlantic,Highly Migratory Species; International Convention for the Conservation of Atlantic Tuna,"NOAA HMS, ICCAT",Atlantic/Gulf HMS FMP,SS,4,ICCAT,1,0,0,0,0,0,"NOAA HMS, ICCAT","MARLIN, BLUE",0,512.65,12.09,"pelagic-oceanic, piscivorous/omnivorous",0,5,1
Blue marlin,Makaira mazara,2021,Pacific,Pacific,Western Pacific Fisheries Management Council,WPFMC,Pacific Pelagic Fisheries of the Western Pacific Region Ecosystem,SS,4,Pacific Islands,0,1,1,1,0,1,Hawaii,"MARLIN, BLUE",524,455.65,2071851.53,"pelagic-oceanic, piscivorous/omnivorous",0,5,1
Blue shark,Prionace glauca,2023,Atlantic,Atlantic,Highly Migratory Species; International Convention for the Conservation of Atlantic Tuna,"NOAA HMS, ICCAT",Atlantic/Gulf HMS FMP,SS,4,ICCAT,0,1,0,0,0,0,"NOAA HMS, ICCAT","SHARK, BLUE",10,1119.6667,2538.4145,"pelagic-oceanic, piscivorous/omnivorous",0,4,1
Blue shark,Prionace glauca,2023,Pacific,Pacific,,PFMC-WPFMC,U.S. West Coast Fisheries for Highly Migratory Species / Pacific Pelagic Fisheries of the Western Pacific Region Ecosystem,SS,4,Pacific Islands,0,1,1,1,0,1,Hawaii,"SHARKS, CHONDRICHTHYES (CLASS)",0,NA,107.4979,"pelagic-oceanic, piscivorous/omnivorous",0,4,1
Bluefin tuna,Thunnus thynnus,2021,Western Atlantic,Western Atlantic,Highly Migratory Species; International Convention for the Conservation of Atlantic Tuna,"NOAA HMS, ICCAT",Atlantic/Gulf HMS FMP,SS,4,Southeast,0,1,1,1,1,1,"NOAA HMS, ICCAT","TUNA, BLUEFIN",739.8951,1662.1216,13384383.1,"pelagic-oceanic, piscivorous/omnivorous",0,4.58,1
Bluefish,Pomatomus saltatrix,2023,Atlantic Coast,Atlantic Coast,Mid-Atlantic Fisheries Management Council,MAFMC,Bluefish FMP,WHAM,5,Northeast,1,0,1,0,0,0,Middle Atlantic,BLUEFISH,1015.79167,6045.667,1623878.9,"pelagic-oceanic, piscivorous/omnivorous",0,1.3,1
Blueline tilefish,Caulolatilus microps,2018,Mid-Atlantic Coast,Mid-Atlantic Coast,Mid-Atlantic Fisheries Management Council,MAFMC,Golden and Blueline Tilefish FMP,Catch only,1,Southeast,0,0,0,0,0,1,Middle Atlantic,"TILEFISH, BLUELINE",9.86956522,72.25,62196.2933,"demersal/benthic, piscivorous/omnivorous",0,0.9,1
Blueline tilefish,Caulolatilus microps,2017,Southern Atlantic Coast,Southern Atlantic Coast,South Atlantic Fisheries Management Council,SAFMC,South Atlantic Snapper Grouper FMP,ASPIC,1,Southeast,0,0,0,0,0,0,South Atlantic,"TILEFISH, BLUELINE",74.7083333,75.916667,446520.967,"demersal/benthic, piscivorous/omnivorous",0,0.9,1
Bocaccio,Sebastes paucispinis,2017,Southern Pacific Coast,Southern Pacific Coast,Pacific Fisheries Management Council,PFMC,Pacific Coast Groundfish FMP,DB-SRA,1,"Northwest, Southwest",0,1,1,0,1,0,Pacific Coast,"ROCKFISH, BOCACCIO",122.791667,83.57143,173612.973,"reef-associated, piscivorous/omnivorous",0,0.91,1
Bronzespotted rockfish,Sebastes gilli,2010,Pacific Coast,Pacific Coast,Pacific Fisheries Management Council,PFMC,Pacific Coast Groundfish FMP,DB-SRA,1,"Northwest, Southwest",0,0,0,0,0,0,Pacific Coast,"ROCKFISH, BRONZESPOTTED",0,0,775.96683,"demersal/benthic, piscivorous/omnivorous",0,0.71,1
Brown rock shrimp,Sicyonia brevirostris,2018,Southern Atlantic Coast,Southern Atlantic Coast,South Atlantic Fisheries Management Council,SAFMC,Shrimp FMP,Index Method,2,Southeast,0,0,NA,0,0,NA,South Atlantic,"SHRIMP, ROCK",524,NA,2361078.75,"demersal/benthic, piscivorous/omnivorous",0,0.153,1
Brown rockfish,Sebastes auriculatus,2013,Pacific Coast,Pacific Coast,Pacific Fisheries Management Council,PFMC,Pacific Coast Groundfish FMP,Extended DBSRA,1,Northwest,0,1,1,1,1,0,Pacific Coast,"ROCKFISH, BROWN",22.125,72.7,398138.25,"demersal/benthic, piscivorous/omnivorous",0,0.31,1
Brown shrimp,Farfantepenaeus aztecus,2019,Gulf of Mexico,Gulf of Mexico,South Atlantic Fisheries Management Council,SAFMC,Shrimp FMP,Index Method,2,Southeast,0,0,1,0,0,0,South Atlantic,"SHRIMP, BROWN",22753.583,NA,122884300,"demersal/benthic, planktivorous",0,0.22,1
Brown shrimp,Farfantepenaeus aztecus,2018,Southern Atlantic Coast,Southern Atlantic Coast,South Atlantic Fisheries Management Council,SAFMC,Shrimp FMP,Survey Abundance,1,Southeast,0,0,NA,0,0,NA,South Atlantic,"SHRIMP, BROWN",2647.542,NA,15704648.5,"demersal/benthic, planktivorous",0,0.22,1
Butterfish,Peprilus triacanthus,2022,Gulf of Maine / Cape Hatteras,Gulf of Maine / Cape Hatteras,Mid-Atlantic Fisheries Management Council,MAFMC,"Mackerel, Squid, Butterfish FMP",WHAM,5,MidAtlantic,0,0,0,0,0,1,Middle Atlantic,BUTTERFISH,259.882353,NA,679951.524,"benthopelagic, planktivorous",1,0.3,1
Cabezon,Scorpaenichthys marmoratus,2019,Northern California,California,Pacific Fisheries Management Council,PFMC,Pacific Coast Groundfish FMP,SS,4,Northwest,0,1,1,1,1,0,Pacific Coast,CABEZON,61.4583333,49.85714,861818.811,"demersal/benthic, piscivorous/omnivorous",0,0.99,1
Cabezon,Scorpaenichthys marmoratus,2019,Southern California,California,Pacific Fisheries Management Council,PFMC,Pacific Coast Groundfish FMP,SS,4,Northwest,0,1,1,1,1,0,Pacific Coast,CABEZON,61.4583333,49.85714,861818.811,"demersal/benthic, piscivorous/omnivorous",0,0.99,1
Cabezon,Scorpaenichthys marmoratus,2019,Northern Pacific Coast,Oregon,Pacific Fisheries Management Council,PFMC,Pacific Coast Groundfish FMP,SS,4,Northwest,0,1,1,1,1,0,Pacific Coast,CABEZON,61.4583333,49.85714,861818.811,"demersal/benthic, piscivorous/omnivorous",0,0.99,1
Cabezon,Scorpaenichthys marmoratus,2019,Washington,Pacific,Pacific Fisheries Management Council,PFMC,Pacific Coast Groundfish FMP,Simple SS,4,Northwest,0,1,1,1,1,0,Pacific Coast,CABEZON,61.4583333,49.85714,861818.811,"demersal/benthic, piscivorous/omnivorous",0,0.99,1
California scorpionfish,Scorpaena guttata,2017,Southern California,Southern California,Pacific Fisheries Management Council,PFMC,Pacific Coast Groundfish FMP,SS,4,Northwest,0,0,0,0,0,0,Pacific Coast,"SCORPIONFISH, CALIFORNIA",NA,87.94737,NA,"demersal/benthic, piscivorous/omnivorous",0,0.43,1
Canary rockfish,Sebastes pinniger,2023,Pacific Coast,Pacific Coast,Pacific Fisheries Management Council,PFMC,Pacific Coast Groundfish FMP,SS,4,Northwest,0,0,1,1,0,0,Pacific Coast,"ROCKFISH, CANARY",145.791667,43.7619,171840.166,"demersal/benthic, piscivorous/omnivorous",0,0.76,1
Caribbean spiny lobster,Panulirus argus,2022,Puerto Rico,Puerto Rico,Caribbean Fisheries Management Council,CFMC,Caribbean Spiny Lobster FMP,SS,4,Southeast,0,0,1,0,0,NA,South Atlantic,"LOBSTER, CARIBBEAN SPINY",198.25,NA,3793554.76,"demersal/benthic, piscivorous/omnivorous",0,0.45,1
Caribbean spiny lobster,Panulirus argus,2010,Southern Atlantic Coast / Gulf of Mexico,Southern Atlantic Coast / Gulf of Mexico,Caribbean Fisheries Management Council,CFMC,Spiny Lobster FMP,SS,4,Southeast,0,0,0,0,0,NA,South Atlantic,"LOBSTER, CARIBBEAN SPINY",198.25,NA,3793554.76,"demersal/benthic, piscivorous/omnivorous",0,0.45,1
Caribbean spiny lobster,Panulirus argus,2022,St. Croix,St. Croix,Caribbean Fisheries Management Council,CFMC,Caribbean Spiny Lobster FMP,SS,4,Southeast,0,0,1,0,0,NA,South Atlantic,"LOBSTER, CARIBBEAN SPINY",198.25,NA,3793554.76,"demersal/benthic, piscivorous/omnivorous",0,0.45,1
Caribbean spiny lobster,Panulirus argus,2022,St. Thomas / St. John,St. Thomas / St. John,Caribbean Fisheries Management Council,CFMC,Caribbean Spiny Lobster FMP,SS,4,Southeast,0,0,1,0,0,NA,South Atlantic,"LOBSTER, CARIBBEAN SPINY",198.25,NA,3793554.76,"demersal/benthic, piscivorous/omnivorous",0,0.45,1
