Common Name,Scientific Name,Asmt Year,Stock Assessment Area,Stock Status Area,Council,Council Abbv,FMP,Assessment Model,Assessment Model Type,Science Center Region,Rebuilding Program Status,SI.stock.boundaries,SI.data.prep,SI.model,SI.sci.advice,SI.other,NOAA.Region.Name,NMFS.Name,Ave.Metric.Tons_Commercial,Ave.Metric.Tons_Recreational,Ave.Dollars.Adj_Commercial,Ecological,Schooling,Max Length.m,Transboundary
Shortspine thornyhead,Sebastolobus alascanus,2023,Pacific Coast,Pacific Coast,Pacific Fisheries Management Council,PFMC,Pacific Coast Groundfish FMP,SS,4,Northwest,0,0,1,1,0,NA,Pacific Coast,"THORNYHEAD, SHORTSPINE",834,NA,3375345.14,"demersal/benthic, piscivorous/omnivorous",0,0.8,1
Silky shark,Carcharhinus falciformis,2018,Tropical Pacific,Western and Central Pacific,Western Pacific Fisheries Management Council,WPFMC,Pacific Pelagic Fisheries of the Western Pacific Region Ecosystem,SS,4,Pacific Islands,0,0,1,0,0,0,Hawaii,"SHARK, CHONDRICHTHYES (CLASS)",0,NA,107.4979,"reef-associated, piscivorous/omnivorous",0,1,
Silver hake,Merluccius bilinearis,2023,Gulf of Maine / Northern Georges Bank,Gulf of Maine / Northern Georges Bank,New England Fisheries Management Council,NEFMC,Small-Mesh Multispecies FMP,Empirical Approach,2,Northeast,0,1,0,0,0,1,New England,"HAKE, SILVER",5451.29167,26.26316,9940180.2,"demersal/benthic, piscivorous/omnivorous",0,0.76,1
Silver hake,Merluccius bilinearis,2023,Southern Georges Bank / Mid-Atlantic,Southern Georges Bank / Mid-Atlantic,New England Fisheries Management Council,NEFMC,Northeast Multispecies FMP,Empirical Approach,2,Northeast,0,1,1,0,0,1,New England,"HAKE, SILVER",5451.29167,26.26316,9940180.2,"demersal/benthic, piscivorous/omnivorous",0,0.76,1
Silvergray rockfish,Sebastes brevispinis,2010,Pacific Coast,Pacific Coast,Pacific Fisheries Management Council,PFMC,Pacific Coast Groundfish FMP,DB-SRA,1,"Northwest, Southwest",0,0,0,0,0,0,Pacific Coast,"ROCKFISH, SILVERGRAY",17.85,0.1578947,15944.8906,"demersal/benthic, piscivorous/omnivorous",0,0.71,1
Skipjack tuna,Katsuwonus pelamis,2022,Western Atlantic,Western Atlantic,Highly Migratory Species; International Convention for the Conservation of Atlantic Tuna,"NOAA HMS, ICCAT",Atlantic/Gulf HMS FMP,SS,4,ICCAT,0,1,1,1,1,NA,"NOAA HMS, ICCAT","TUNA, SKIPJACK",3.5355332,111.20098,8699.138,"pelagic-oceanic, piscivorous/omnivorous",1,1.11,1
Skipjack tuna,Katsuwonus pelamis,2024,Eastern Pacific,Eastern Pacific,,PFMC-WPFMC,U.S. West Coast Fisheries for Highly Migratory Species / Pacific Pelagic Fisheries of the Western Pacific Region Ecosystem,SS,4,Pacific Islands,0,0,1,1,0,0,Hawaii,"TUNA, SKIPJACK",219.384615,NA,983347.771,"pelagic-oceanic, piscivorous/omnivorous",1,1.11,1
Skipjack tuna,Katsuwonus pelamis,2022,Central Western Pacific,Central Western Pacific,,PFMC-WPFMC,U.S. West Coast Fisheries for Highly Migratory Species / Pacific Pelagic Fisheries of the Western Pacific Region Ecosystem,Multifan-CL,4,Pacific Islands,0,1,1,1,0,1,Hawaii,"TUNA, SKIPJACK",219.384615,NA,983347.771,"pelagic-oceanic, piscivorous/omnivorous",1,1.11,1
Smooth dogfish,Mustelus canis,2015,Atlantic,Atlantic,Highly Migratory Species; International Convention for the Conservation of Atlantic Tuna,"NOAA HMS, ICCAT",Atlantic/Gulf HMS FMP,SS,4,Southeast,0,0,1,0,0,NA,"NOAA HMS, ICCAT","SHARK, DOGFISH, SMOOTH",672.46,113.4997,927258.08,"demersal/benthic, piscivorous/omnivorous",0,1.5,1
Smooth skate,Malacoraja senta,2023,Gulf of Maine,Gulf of Maine,New England Fisheries Management Council,NEFMC,Skate Complex FMP,Index Method,2,Northeast,0,0,1,0,0,0,New England,"SKATE, SMOOTH",74.2,NA,51073.0523,bathydemersal,0,0.71,1
Snow crab,Chionoecetes opilio,2023,Bering Sea,Bering Sea,North Pacific Fisheries Management Council,NPFMC,Bering Sea/Aleutian Islands King and Tanner Crabs FMP,GMACS,4,Alaska,1,0,0,0,0,1,Alaska,"CRAB, SNOW",18120.2609,NA,116993346,"demersal/benthic, piscivorous/omnivorous",0,0.137,1
Snowy grouper,Epinephelus niveatus,2021,Southern Atlantic Coast,Southern Atlantic Coast,South Atlantic Fisheries Management Council,SAFMC,South Atlantic Snapper Grouper FMP,BAM,4,Southeast,1,0,0,0,0,0,South Atlantic,"GROUPER, SNOWY",61.0416667,22.20833,614576.811,"demersal/benthic, piscivorous/omnivorous",0,1.22,1
Southern Tanner crab,Chionoecetes bairdi,2023,Bering Sea,Bering Sea,North Pacific Fisheries Management Council,NPFMC,Bering Sea/Aleutian Islands King and Tanner Crabs FMP,GMACS,4,Alaska,0,1,1,0,1,1,Alaska,"CRAB, SOUTHERN TANNER",2097.45833,NA,15498584.6,"demersal/benthic, piscivorous/omnivorous",0,0.15,1
Spanish mackerel,Scomberomorus maculatus,2023,Gulf of Mexico,Gulf of Mexico,Gulf of Mexico Fisheries Management Council,GMFMC,Gulf of Mexico Reef Fish FMP,SS,4,Southeast,0,0,0,0,0,1,Gulf,"MACKEREL, SPANISH",257.395833,3168.95833,577259.057,"pelagic-neritic, piscivorous/omnivorous",1,0.91,1
Spanish mackerel,Scomberomorus maculatus,2023,Gulf of Mexico,Gulf of Mexico,Gulf of Mexico Fisheries Management Council,GMFMC,Coastal Migratory Pelagics FMP,SS,4,Southeast,0,0,1,0,0,0,Gulf,"MACKEREL, SPANISH",257.395833,3168.95833,577259.057,"pelagic-neritic, piscivorous/omnivorous",1,0.91,1
Spanish mackerel,Scomberomorus maculatus,2022,Southern Atlantic Coast,South Atlantic Coast,South Atlantic Fishery Management Council ,SAFMC,Coastal Migratory Pelagics FMP,BAM,4,Southeast,0,0,0,0,0,0,South Atlantic,"MACKEREL, SPANISH",1502.625,1816.5833,4279366.94,"pelagic-neritic, piscivorous/omnivorous",1,0.91,1
