"","Common.Name","Scientific.Name","Stock.Assessment.Area","Stock.Status.Area","Council","Council.Abbv","FMP","Assessment.Model","Assessment.Model.Type","Science.Center.Region","Rebuilding.Program.Status","SI.stock.boundaries","SI.data.prep","SI.model","SI.sci.advice","SI.other","Spatially.Explict.Implict","NOAA.Region.Name","NMFS.Name","Ave.Metric.Tons_Commercial","Ave.Metric.Tons_Recreational","Ave.Dollars.Adj_Commercial","Ecological","Schooling","Max.Length.m","Transboundary","Fisheries.Dep.Only","PerTon_Ave.Dollars.Adj_Commercial","Mgmt.Council"
"342","Wreckfish","Polyprion americanus","Southern Atlantic Coast","Southern Atlantic Coast","South Atlantic Fisheries Management Council","SAFMC","South Atlantic Snapper Grouper FMP","SCAA, Dynamic Production Model",4,"Southeast",0,0,0,0,0,0,"0","South Atlantic","WRECKFISH",67.75,0,607649.208,"demersal/benthic, piscivorous/omnivorous",0,2.1,1,NA,8968.992,"South Atlantic"
"343","Yellow-edged lyretail","Variola louti","American Samoa","American Samoa","Western Pacific Fisheries Management Council","WPFMC","American Samoa Archipelago Ecosystem","SS",4,"Pacific Islands",0,0,0,0,0,0,"0","Hawaii","NA",NA,NA,NA,"reef-associated, piscivorous/omnivorous",0,0.83,1,NA,NA,"Western Pacific"
"344","Yellowedge grouper","Epinephelus flavolimbatus","Gulf of Mexico","Gulf of Mexico","Gulf of Mexico Fisheries Management Council","GMFMC","Gulf of Mexico Reef Fish FMP","SS",4,"Southeast",0,1,1,1,0,0,"1","Gulf","GROUPER, YELLOWEDGE",195.833333,NA,2054463.21,"demersal/benthic, piscivorous/omnivorous",0,1.15,1,0,10490.8759838143,"Gulf of Mexico"
"345","Yellowedge grouper","Epinephelus flavolimbatus","Southern Atlantic Coast","Southern Atlantic Coast","South Atlantic Fisheries Management Council","SAFMC","South Atlantic Snapper Grouper FMP","unknown",NA,"Southeast",0,0,0,0,0,0,"0","South Atlantic","GROUPER, YELLOWEDGE",6.58333333,3.9411765,80986.0469,"demersal/benthic, piscivorous/omnivorous",0,1.15,1,0,12301.6780163553,"South Atlantic"
"346","Yelloweye rockfish","Sebastes ruberrimus","Gulf of Alaska","Gulf of Alaska","North Pacific Fisheries Management Council","NPFMC","Gulf of Alaska Groundfish FMP","Index Method",2,"Alaska",0,1,1,1,1,0,"1","Alaska","ROCKFISHES",12938.375,NA,9704091,"reef-associated, piscivorous/omnivorous",0,1.04,1,0,750.023940409827,"North Pacific"
"347","Yelloweye rockfish","Sebastes ruberrimus","Pacific Coast","Pacific Coast","Pacific Fisheries Management Council","PFMC","Pacific Coast Groundfish FMP","SS",4,"Northwest",1,0,1,1,1,1,"1","Pacific Coast","ROCKFISH, YELLOWEYE",2.16666667,1.333,7005.37222,"reef-associated, piscivorous/omnivorous",0,1.04,1,0,3233.24871194885,"Pacific"
"348","Yellowfin sole","Limanda aspera","Bering Sea / Aleutian Islands","Bering Sea / Aleutian Islands","North Pacific Fisheries Management Council","NPFMC","Bering Sea/Aleutian Islands Groundfish FMP","Custom SCAA",4,"Alaska",0,0,1,1,0,0,"1","Alaska","SOLE, YELLOWFIN",112337.292,NA,48399925.4,"demersal/benthic, piscivorous/omnivorous",0,0.49,1,0,430.84468690949,"North Pacific"
"349","Yellowfin tuna","Thunnus albacares","Central Western Pacific","Central Western Pacific","Western Pacific Management Council; Pacific Fisheries Management Council; Pacific RFMO","WPFMC-PFMC-P-RFMO","U.S. West Coast Fisheries for Highly Migratory Species / Pacific Pelagic Fisheries of the Western Pacific Region Ecosystem","Multifan-CL",4,"Pacific Islands, IATTC",0,1,1,1,0,0,"2","Hawaii","TUNA, YELLOWFIN",2368.38462,NA,21787177.7,"pelagic-oceanic, piscivorous/omnivorous",1,2.39,1,0,9199.17209224235,"International, Pacific"
"350","Yellowfin tuna","Thunnus albacares","Eastern Pacific","Eastern Pacific","Western Pacific Management Council; Pacific Fisheries Management Council; Pacific RFMO","WPFMC-PFMC-P-RFMO","U.S. West Coast Fisheries for Highly Migratory Species / Pacific Pelagic Fisheries of the Western Pacific Region Ecosystem","3.30.15",NA,"Pacific Islands, IATTC",0,0,1,1,0,1,"1","Hawaii","TUNA, YELLOWFIN",2368.38462,NA,21787177.7,"pelagic-oceanic, piscivorous/omnivorous",1,2.39,1,0,9199.17209224235,"International, Pacific"
"351","Yellowfin tuna","Thunnus albacares","Western Atlantic","Western Atlantic","Highly Migratory Species; International Convention for the Conservation of Atlantic Tuna","NOAA HMS-ICCAT","Atlantic/Gulf HMS FMP","SS",4,"ICCAT",0,0,1,1,0,0,"1","NOAA HMS, ICCAT","TUNA, YELLOWFIN",683.98026,4568.4627,10570175.2,"pelagic-oceanic, piscivorous/omnivorous",1,2.39,1,0,15453.9185092856,"International, Atlantic"
"352","Yellowmouth rockfish","Sebastes reedi","Pacific Coast","Pacific Coast","Pacific Fisheries Management Council","PFMC","Pacific Coast Groundfish FMP","DB-SRA",1,"Northwest, Southwest",0,0,0,0,0,0,"0","Pacific Coast","ROCKFISH, YELLOWMOUTH",11.1,0,8617.18115,"bathydemersal",0,0.58,1,1,776.322626126126,"Pacific"
"353","Yellowtail flounder","Limanda ferruginea","Cape Cod / Gulf of Maine","Cape Cod / Gulf of Maine","New England Fisheries Management Council","NEFMC","Northeast Multispecies FMP","VPA",3,"Northeast",0,1,0,0,0,0,"0","New England","FLOUNDER, YELLOWTAIL",2293.125,0.8,8792241.48,"demersal/benthic, piscivorous/omnivorous",0,0.64,1,0,3834.17453475061,"New England"
"354","Yellowtail flounder","Limanda ferruginea","Georges Bank","Georges Bank","New England Fisheries Management Council","NEFMC","Northeast Multispecies FMP","Index Method",2,"Northeast",1,0,1,0,0,0,"0","New England","FLOUNDER, YELLOWTAIL",2293.125,0.8,8792241.48,"demersal/benthic, piscivorous/omnivorous",0,0.64,1,0,3834.17453475061,"New England"
"355","Yellowtail flounder","Limanda ferruginea","Southern New England / Mid-Atlantic","Southern New England / Mid-Atlantic","New England Fisheries Management Council","NEFMC","Northeast Multispecies FMP","ASAP",4,"Northeast",1,1,0,0,0,NA,"0","New England","FLOUNDER, YELLOWTAIL",2293.125,0.8,8792241.48,"demersal/benthic, piscivorous/omnivorous",0,0.64,1,0,3834.17453475061,"New England"
"356","Yellowtail rockfish","Sebastes flavidus","Northern Pacific Coast","Northern Pacific Coast","Pacific Fisheries Management Council","PFMC","Pacific Coast Groundfish FMP","SS",4,"Northwest",0,1,1,1,1,0,"1","Pacific Coast","ROCKFISH, YELLOWTAIL",1708.58333,108.619048,1791715.24,"demersal/benthic, piscivorous/omnivorous",0,0.64,1,0,1048.65546124695,"Pacific"
"357","Yellowtail rockfish","Sebastes flavidus","Southern Pacific Coast","Southern Pacific Coast","Pacific Fisheries Management Council","PFMC","Pacific Coast Groundfish FMP","SS",4,"Northwest",0,1,1,1,1,0,"1","Pacific Coast","ROCKFISH, YELLOWTAIL",1708.58333,108.619048,1791715.24,"demersal/benthic, piscivorous/omnivorous",0,0.64,1,0,1048.65546124695,"Pacific"
"358","Yellowtail snapper","Ocyurus chrysurus","Southern Atlantic Coast / Gulf of Mexico","Southern Atlantic Coast / Gulf of Mexico","South Atlantic Fisheries Management Council","SAFMC","South Atlantic Snapper Grouper FMP","SS",4,"Southeast",0,0,1,0,0,0,"0","South Atlantic","SNAPPER, YELLOWTAIL",44.6666667,199.8333,405569.517,"reef-associated, piscivorous/omnivorous",1,0.863,1,0,9079.91455292544,"South Atlantic"
