Common.Name,Scientific.Name,Stock.Assessment.Area,Stock.Status.Area,Council,Council.Abbv,FMP,Assessment.Model,Assessment.Model.Type,Science.Center.Region,Rebuilding.Program.Status,SI.stock.boundaries,SI data prep,SI model,SI sci advice,SI other,Spatially.Explict.Implict,NOAA.Region.Name,NMFS.Name,Ave.Metric.Tons_Commercial,Ave.Metric.Tons_Recreational,Ave.Dollars.Adj_Commercial,Ecological,Schooling,Max.Length.m,Transboundary,Fisheries.Dep.Only
Rex sole,Glyptocephalus zachirus,Western / Central Gulf of Alaska,Gulf of Alaska,North Pacific Fisheries Management Council,NPFMC,Gulf of Alaska Groundfish FMP,SS,4,Alaska,0,0,1,0,1,NA,0,Alaska,"SOLE, REX",3128.25,NA,2535790.87,"demersal/benthic, piscivorous/omnivorous",0,0.6,1,0
Rex sole,Glyptocephalus zachirus,Pacific Coast,Pacific Coast,Pacific Fisheries Management Council,PFMC,Pacific Coast Groundfish FMP,SS,4,Northwest,0,0,0,1,0,0,1,Pacific Coast,"SOLE, REX",481.083333,0,548091.261,"demersal/benthic, piscivorous/omnivorous",0,0.6,1,0
Rock sole,Lepidopsetta bilineata,Central Gulf of Alaska,Central Gulf of Alaska,North Pacific Fisheries Management Council,NPFMC,,SS,4,Alaska,0,1,0,0,0,0,0,Alaska,"SOLE, ROCK",37736.25,NA,21066870,"demersal/benthic, piscivorous/omnivorous",0,0.6,1,0
Rock sole,Lepidopsetta bilineata,Pacific Coast,Pacific Coast,Pacific Fisheries Management Council,PFMC,Pacific Coast Groundfish FMP,DB-SRA,1,"Northwest, Southwest",0,0,0,0,0,0,0,Pacific Coast,"SOLE, ROCK",10.8333,1.05,16429.13,"demersal/benthic, piscivorous/omnivorous",0,0.58,1,1
Rock sole,Lepidopsetta bilineata,Western Gulf of Alaska,Western Gulf of Alaska,North Pacific Fisheries Management Council,NPFMC,Gulf of Alaska Groundfish FMP,Custom SCAA,4,Alaska,0,1,0,0,0,0,0,Alaska,"SOLE, ROCK",37736.25,NA,21066870,"demersal/benthic, piscivorous/omnivorous",0,0.58,1,0
Rosethorn rockfish,Sebastes helvomaculatus,Pacific Coast,Pacific Coast,Pacific Fisheries Management Council,PFMC,Pacific Coast Groundfish FMP,DB-SRA,1,"Northwest, Southwest",0,0,0,0,0,0,0,Pacific Coast,"ROCKFISH, ROSETHORN",4.45,0,4595.00323,"demersal/benthic, piscivorous/omnivorous",0,0.41,1,1
Rosette skate,Leucoraja garmani,Southern New England / Mid-Atlantic,Southern New England / Mid-Atlantic,New England Fisheries Management Council,NEFMC,Northeast Multispecies FMP,Index Method,2,Northeast,0,0,1,0,0,0,0,New England,"SKATE, ROSETTE",NA,NA,NA,"demersal/benthic, piscivorous/omnivorous",0,0.57,0,0
Rosy rockfish,Sebastes rosaceus,Pacific Coast,Pacific Coast,Pacific Fisheries Management Council,PFMC,Pacific Coast Groundfish FMP,DB-SRA,1,"Northwest, Southwest",0,0,0,0,0,0,0,Pacific Coast,"ROCKFISH, ROSY",0.39130435,5.25,2612.1333,"demersal/benthic, piscivorous/omnivorous",0,0.36,1,1
Rusty jobfish,Aphareus rutilans,American Samoa,American Samoa,Western Pacific Fisheries Management Council,WPFMC,American Samoa Archipelago Ecosystem,SS,4,Pacific Islands,0,0,0,0,0,0,0,Hawaii,"SNAPPER, IRONJAW",3.84615385,NA,54557.8728,"reef-associated, piscivorous/omnivorous",0,1.1,1,NA
Sablefish,Anoplopoma fimbria,Eastern Bering Sea / Aleutian Islands / Gulf of Alaska,Eastern Bering Sea / Aleutian Islands / Gulf of Alaska,North Pacific Fisheries Management Council,NPFMC,Gulf of Alaska Groundfish FMP,Custom SCAA,4,Alaska,0,0,0,0,0,1,0,Alaska,SABLEFISH,14956.625,NA,130330244,bathydemersal,0,1.2,1,0
