Common Name,Scientific Name,Asmt Year,Stock Assessment Area,Stock Status Area,Council,Council Abbv,FMP,Assessment Model,Assessment Model Type,Science Center Region,Rebuilding Program Status,SI stock boundaries,SI data prep,SI model,SI sci advice,SI other,,,,,,,,,,,,
Multispecies Complex,Gulf of Alaska Other Shallow Water Flatfish Complex,2023,Gulf of Alaska,Gulf of Alaska,North Pacific Fisheries Management Council,NPFMC,Gulf of Alaska Groundfish FMP,Index Method,2,Alaska,,,,,,,,,,,,,,,,,,
Multispecies Complex,Gulf of Alaska Sculpin Complex,2023,Gulf of Alaska,Gulf of Alaska,North Pacific Fisheries Management Council,NPFMC,Gulf of Alaska Groundfish FMP,Index Method,2,Alaska,,,,,,,,,,,,,,,,,,
Multispecies Complex,Gulf of Alaska Shallow Water Flatfish Complex,2018,Gulf of Alaska,Gulf of Alaska,North Pacific Fisheries Management Council,NPFMC,Gulf of Alaska Groundfish FMP,SS,4,Alaska,,,,,,,,,,,,,,,,,,
Multispecies Complex,Gulf of Alaska Other Rockfish Complex,2023,Gulf of Alaska,Gulf of Alaska,North Pacific Fisheries Management Council,NPFMC,Gulf of Alaska Groundfish FMP,Survey Abundance,2,Alaska,,,,,,,,,,,,,,,,,,
Multispecies Complex,Gulf of Alaska Skate Complex,2023,Gulf of Alaska,Gulf of Alaska,North Pacific Fisheries Management Council,NPFMC,Gulf of Alaska Groundfish FMP,Survey Abundance,2,Alaska,,,,,,,,,,,,,,,,,,
North Pacific spiny dogfish,Squalus suckleyi,2022,Bering Sea / Aleutian Islands,Bering Sea / Aleutian Islands,North Pacific Fisheries Management Council,NPFMC,Bering Sea/Aleutian Islands Groundfish FMP,ORCS,1,Alaska,,,,,,,,,,,,,,,,,,
North Pacific spiny dogfish,Squalus suckleyi,2022,Gulf of Alaska,Gulf of Alaska,North Pacific Fisheries Management Council,NPFMC,Gulf of Alaska Groundfish FMP,Random Effects Model,2,Alaska,,,,,,,,,,,,,,,,,,
Northern rock sole,Lepidopsetta polyxystra,2023,Bering Sea / Aleutian Islands,Bering Sea / Aleutian Islands,North Pacific Fisheries Management Council,NPFMC,Bering Sea/Aleutian Islands Groundfish FMP,Custom SCAA,4,Alaska,,,,,,,,,,,,,,,,,,
Northern rock sole,Lepidopsetta polyxystra,2023,Central Gulf of Alaska,Western / Central Gulf of Alaska,North Pacific Fisheries Management Council,NPFMC,Custom SCAA,SS,4,Alaska,,,,,,,,,,,,,,,,,,
Northern rock sole,Lepidopsetta polyxystra,2023,Western Gulf of Alaska,Western / Central Gulf of Alaska,North Pacific Fisheries Management Council,NPFMC,Gulf of Alaska Groundfish FMP,SS,4,Alaska,,,,,,,,,,,,,,,,,,
Northern rockfish,Sebastes polyspinis,2023,Bering Sea / Aleutian Islands,Bering Sea / Aleutian Islands,North Pacific Fisheries Management Council,NPFMC,Bering Sea/Aleutian Islands Groundfish FMP,Custom SCAA,4,Alaska,,,,,,,,,,,,,,,,,,
Northern rockfish,Sebastes polyspinis,2023,Western / Central Gulf of Alaska,Western / Central Gulf of Alaska,North Pacific Fisheries Management Council,NPFMC,Gulf of Alaska Groundfish FMP,Custom SCAA,4,Alaska,,,,,,,,,,,,,,,,,,
Pacific cod,Gadus macrocephalus,2023,Bering Sea,Bering Sea,North Pacific Fisheries Management Council,NPFMC,Bering Sea/Aleutian Islands Groundfish FMP,SS,4,Alaska,,,,,,,,,,,,,,,,,,
Pacific ocean perch,Sebastes alutus,2023,Bering Sea / Aleutian Islands,Bering Sea / Aleutian Islands,North Pacific Fisheries Management Council,NPFMC,Bering Sea/Aleutian Islands Groundfish FMP,Custom SCAA,4,Alaska,,,,,,,,,,,,,,,,,,
Pacific ocean perch,Sebastes alutus,2023,Gulf of Alaska,Gulf of Alaska,North Pacific Fisheries Management Council,NPFMC,Gulf of Alaska Groundfish FMP,Custom SCAA,4,Alaska,,,,,,,,,,,,,,,,,,
Pacific sleeper shark,Somniosus pacificus,2022,Bering Sea / Aleutian Islands,Bering Sea / Aleutian Islands,North Pacific Fisheries Management Council,NPFMC,Bering Sea/Aleutian Islands Groundfish FMP,ORCS,1,Alaska,,,,,,,,,,,,,,,,,,
Pacific sleeper shark,Somniosus pacificus,2022,Gulf of Alaska,Gulf of Alaska,North Pacific Fisheries Management Council,NPFMC,Gulf of Alaska Groundfish FMP,ORCS,1,Alaska,,,,,,,,,,,,,,,,,,
Red king crab,Paralithodes camtschaticus,2017,Western Aleutian Islands,Western Aleutian Islands,North Pacific Fisheries Management Council,NPFMC,Bering Sea/Aleutian Islands Groundfish FMP,Average total catch,1,Alaska,,,,,,,,,,,,,,,,,,
Red king crab,Paralithodes camtschaticus,2023,Bristol Bay,Bristol Bay,North Pacific Fisheries Management Council,NPFMC,Bering Sea/Aleutian Islands Groundfish FMP,GMACS,4,Alaska,,,,,,,,,,,,,,,,,,
Red king crab,Paralithodes camtschaticus,2024,Norton Sound,Norton Sound,North Pacific Fisheries Management Council,NPFMC,Bering Sea/Aleutian Islands Groundfish FMP,GMACS,4,Alaska,,,,,,,,,,,,,,,,,,
Red king crab,Paralithodes camtschaticus,2022,Pribilof Islands,Pribilof Islands,North Pacific Fisheries Management Council,NPFMC,Bering Sea/Aleutian Islands Groundfish FMP,GMACS,4,Alaska,,,,,,,,,,,,,,,,,,
Rex sole,Glyptocephalus zachirus,2023,Eastern Gulf of Alaska,Gulf of Alaska,North Pacific Fisheries Management Council,NPFMC,Gulf of Alaska Groundfish FMP,SS,4,Alaska,,,,,,,,,,,,,,,,,,
Rex sole,Glyptocephalus zachirus,2023,Western / Central Gulf of Alaska,Gulf of Alaska,North Pacific Fisheries Management Council,NPFMC,Gulf of Alaska Groundfish FMP,SS,4,Alaska,,,,,,,,,,,,,,,,,,
Rock sole,Lepidopsetta bilineata,2023,Western Gulf of Alaska,Western Gulf of Alaska,North Pacific Fisheries Management Council,NPFMC,Gulf of Alaska Groundfish FMP,Custom SCAA,4,Alaska,,,,,,,,,,,,,,,,,,
Rock sole,Lepidopsetta bilineata,2023,Central Gulf of Alaska,Central Gulf of Alaska,North Pacific Fisheries Management Council,NPFMC,,SS,4,Alaska,,,,,,,,,,,,,,,,,,
Sharpchin rockfish,Sebastes zacentrus,2023,Gulf of Alaska,Gulf of Alaska,North Pacific Fisheries Management Council,NPFMC,Gulf of Alaska Groundfish FMP,Index Method,2,Alaska,,,,,,,,,,,,,,,,,,
Shortraker rockfish,Sebastes borealis,2022,Bering Sea / Aleutian Islands,Bering Sea / Aleutian Islands,North Pacific Fisheries Management Council,NPFMC,Bering Sea/Aleutian Islands Groundfish FMP,Index Method,2,Alaska,,,,,,,,,,,,,,,,,,
Shortraker rockfish,Sebastes borealis,2023,Gulf of Alaska,Gulf of Alaska,North Pacific Fisheries Management Council,NPFMC,Gulf of Alaska Groundfish FMP,Index Method,2,Alaska,,,,,,,,,,,,,,,,,,
Shortspine thornyhead,Sebastolobus alascanus,2022,Gulf of Alaska,Gulf of Alaska,North Pacific Fisheries Management Council,NPFMC,Gulf of Alaska Groundfish FMP,Index Method,2,Alaska,,,,,,,,,,,,,,,,,,
Walleye pollock,Gadus chalcogrammus,2023,Aleutian Islands,Aleutian Islands,North Pacific Fisheries Management Council,NPFMC,Bering Sea/Aleutian Islands Groundfish FMP,AMAK,4,Alaska,,,,,,,,,,,,,,,,,,
Walleye pollock,Gadus chalcogrammus,2023,Eastern Bering Sea,Eastern Bering Sea,North Pacific Fisheries Management Council,NPFMC,Gulf of Alaska Groundfish FMP,Custom SCAA,4,Alaska,,,,,,,,,,,,,,,,,,
Walleye pollock,Gadus chalcogrammus,2022,Bogoslof,Bogoslof,North Pacific Fisheries Management Council,NPFMC,Bering Sea/Aleutian Islands Groundfish FMP,Index Method,2,Alaska,,,,,,,,,,,,,,,,,,
Weathervane scallop,Patinopecten caurinus,2024,Alaska,Alaska,North Pacific Fisheries Management Council,NPFMC,Alaska Scallop Fishery FMP,Index Method,2,Alaska,,,,,,,,,,,,,,,,,,
Yellowfin sole,Limanda aspera,2023,Bering Sea / Aleutian Islands,Bering Sea / Aleutian Islands,North Pacific Fisheries Management Council,NPFMC,Bering Sea/Aleutian Islands Groundfish FMP,Custom SCAA,4,Alaska,,,,,,,,,,,,,,,,,,
Sailfish,Istiophorus platypterus,2023,Western Atlantic,Western Atlantic,ITTAC,NOAA,Atlantic/Gulf HMS FMP,BSP,2,ICCAT,Rebuilding,,,,,,,,,,,,,,,,,
Bigeye tuna,Thunnus obesus,2021,Atlantic,Atlantic,Highly Migratory Species; International Convention for the Conservation of Atlantic Tuna,"NOAA HMS, ICCAT",Atlantic/Gulf HMS FMP,SS,4,ICCAT,Rebuilding,,,,,,,,,,,,,,,,,
Blue marlin,Makaira nigricans,2018,Atlantic,Atlantic,Highly Migratory Species; International Convention for the Conservation of Atlantic Tuna,"NOAA HMS, ICCAT",Atlantic/Gulf HMS FMP,SS,4,ICCAT,Rebuilding,,,,,,,,,,,,,,,,,
White marlin,Kajikia albida,2019,Atlantic,Atlantic,Highly Migratory Species; International Convention for the Conservation of Atlantic Tuna,"NOAA HMS, ICCAT",Atlantic/Gulf HMS FMP,"SS, JABBA",4,ICCAT,Rebuilding,,,,,,,,,,,,,,,,,
Albacore,Thunnus alalunga,2020,North Atlantic,North Atlantic,ICCAT,NOAA,Atlantic/Gulf HMS FMP,SS,4,ICCAT,,,,,,,,,,,,,,,,,,
Skipjack tuna,Katsuwonus pelamis,2022,Western Atlantic,Western Atlantic,ITTAC,NOAA,Atlantic/Gulf HMS FMP,SS,4,ICCAT,,,,,,,,,,,,,,,,,,
Swordfish,Xiphias gladius,2022,North Atlantic,North Atlantic,ICCAT,NOAA,Atlantic/Gulf HMS FMP,"SS, JABBA, ASPIC",4,ICCAT,,,,,,,,,,,,,,,,,,
Yellowfin tuna,Thunnus albacares,2019,Western Atlantic,Western Atlantic,ITTAC,NOAA,Atlantic/Gulf HMS FMP,SS,4,ICCAT,,,,,,,,,,,,,,,,,,
Blue shark,Prionace glauca,2023,Atlantic,Atlantic,Highly Migratory Species; International Convention for the Conservation of Atlantic Tuna,"NOAA HMS, ICCAT",Atlantic/Gulf HMS FMP,SS,4,ICCAT,,,,,,,,,,,,,,,,,,
Butterfish,Peprilus triacanthus,2022,Gulf of Maine / Cape Hatteras,Gulf of Maine / Cape Hatteras,Mid-Atlantic Fisheries Management Council,MAFMC,"Mackerel, Squid, Butterfish FMP",WHAM,5,MidAtlantic,,0,0,0,0,1,,,,,,,,,,,,
Atlantic surfclam,Spisula solidissima,2020,Mid-Atlantic Coast,Mid-Atlantic Coast,Mid-Atlantic Fisheries Management Council,MAFMC,Atlantic Surfclam and Ocean Quahog FMP,SS,4,MidAtlantic,,1,1,1,0,1,,,,,,,,,,,,
Longbill spearfish,Tetrapturus pfluegeri,1997,Western Atlantic,Western Atlantic,ITTAC,NOAA,Atlantic/Gulf HMS FMP,na,0,na,,,,,,,,,,,,,,,,,,
Atlantic mackerel,Scomber scombrus,2023,Gulf of Maine / Cape Hatteras,Mid-atlantic coast,Mid-Atlantic Fisheries Management Council,MAFMC,"Mackerel, Squid, Butterfish FMP",ASAP,4,Northeast,Rebuilding,,,,,,,,,,,,,,,,,
Bluefish,Pomatomus saltatrix,2023,Atlantic Coast,Atlantic Coast,Mid-Atlantic Fisheries Management Council,MAFMC,Bluefish FMP,WHAM,5,Northeast,Rebuilding,,,,,,,,,,,,,,,,,
Atlantic halibut,Hippoglossus hippoglossus,2022,Northwestern Atlantic Coast,Northwestern Atlantic Coast,New England Fisheries Management Council,NEFMC,Northeast Multispecies FMP,FSD,0,Northeast,Rebuilding,0,0,0,0,0,,,,,,,,,,,,
Atlantic wolffish,Anarhichas lupus,2022,Gulf of Maine / Georges Bank,Gulf of Maine / Georges Bank,New England Fisheries Management Council,NEFMC,Northeast Multispecies FMP,SCALE,4,Northeast,Rebuilding,0,0,0,0,0,,,,,,,,,,,,
Ocean pout,Zoarces americanus,2022,Northwestern Atlantic Coast,Northwestern Atlantic Coast,New England Fisheries Management Council,NEFMC,Northeast Multispecies FMP,Index Method,2,Northeast,Rebuilding,0,0,0,0,0,,,,,,,,,,,,
Witch flounder,Glyptocephalus cynoglossus,2022,Northwestern Atlantic Coast,Northwestern Atlantic Coast,New England Fisheries Management Council,NEFMC,Northeast Multispecies FMP,Empirical Approach,2,Northeast,Rebuilding,0,0,0,0,0,,,,,,,,,,,,
Atlantic cod,Gadus morhua,2023,Eastern Gulf of Maine,Eastern Gulf of Maine,New England Fisheries Management Council,NEFMC,Northeast Multispecies FMP,unknown,0,Northeast,Rebuilding,1,0,0,0,NA,,,,,,,,,,,,
Atlantic herring,Clupea harengus,2022,Northwestern Atlantic Coast,Northwestern Atlantic Coast,New England Fisheries Management Council,NEFMC,Atlantic Herring FMP,ASAP,4,Northeast,Rebuilding,1,0,0,0,1,,,,,,,,,,,,
Red hake,Urophycis chuss,2023,Southern Georges Bank / Mid-Atlantic,Southern Georges Bank / Mid-Atlantic,New England Fisheries Management Council,NEFMC,Northeast Multispecies FMP,Empirical Approach,2,Northeast,Rebuilding,1,0,0,0,1,,,,,,,,,,,,
Yellowtail flounder,Limanda ferruginea,2022,Southern New England / Mid-Atlantic,Southern New England / Mid-Atlantic,New England Fisheries Management Council,NEFMC,Northeast Multispecies FMP,ASAP,4,Northeast,Rebuilding,1,0,0,0,NA,,,,,,,,,,,,
Windowpane,Scophthalmus aquosus,2023,Gulf of Maine / Georges Bank,Gulf of Maine / Georges Bank,New England Fisheries Management Council,NEFMC,Northeast Multispecies FMP,Empirical Approach,2,Northeast,Rebuilding,NA,0,0,0,1,,,,,,,,,,,,
Atlantic cod,Gadus morhua,2021,Georges Bank,Georges Bank,New England Fisheries Management Council,NEFMC,Northeast Multispecies FMP,DLMtool,1,Northeast,Rebuilding,,,,,,,,,,,,,,,,,
